date,temperature,rainfall,humidity,soil_moisture,hotspot_density,elevation_risk,temperature_roll_7d,rainfall_roll_7d,humidity_roll_7d,soil_moisture_lag_1d,soil_moisture_lag_3d,hotspot_density_lag_1d,hotspot_density_lag_3d,elevation_risk_lag_1d,elevation_risk_lag_3d,hazard_label
2020-01-01,14.244563358769392,9.765910614116763,85.71279292491656,46.22368392231186,0.5707793661383611,45.43624873936201,14.244563358769392,9.765910614116763,85.71279292491656,46.22368392231186,46.22368392231186,0.5707793661383611,0.5707793661383611,45.43624873936201,45.43624873936201,0
2020-01-02,12.663339112195835,3.638329608118137,75.53244846562993,45.020481233675696,0.0,44.41057792231164,13.453951235482613,6.70212011111745,80.62262069527324,46.22368392231186,46.22368392231186,0.5707793661383611,0.5707793661383611,45.43624873936201,45.43624873936201,0
2020-01-03,14.63799629138496,13.643062788222984,85.0769525472663,64.04704515625065,0.27328458143112794,42.56236333356469,13.848632920783396,9.015767670152629,82.10739797927093,45.020481233675696,46.22368392231186,0.0,0.5707793661383611,44.41057792231164,45.43624873936201,0
2020-01-04,16.8396749637222,7.602017716361812,77.79826107838005,70.25336763852275,0.385416980561782,44.029117261791804,14.596393431518097,8.662330181704924,81.03011375404822,64.04704515625065,46.22368392231186,0.27328458143112794,0.5707793661383611,42.56236333356469,45.43624873936201,0
2020-01-05,12.46358860942551,16.76901539843704,100.0,92.73069213443326,0.1670788109365775,42.781048910320514,14.169832467099578,10.283667225051348,84.82409100323858,70.25336763852275,45.020481233675696,0.385416980561782,0.0,44.029117261791804,44.41057792231164,0
2020-01-06,12.484042724899625,10.816194979949366,87.14974877441773,100.0,0.23498677016594235,46.52297947787872,13.888867510066254,10.372421850867683,85.21170063176844,92.73069213443326,64.04704515625065,0.1670788109365775,0.27328458143112794,42.781048910320514,42.56236333356469,0
2020-01-07,17.041365525753292,8.906135739087368,82.86088492930908,100.0,0.6730598759491484,47.44085981917773,14.339224369450116,10.162952406327637,84.87586981713137,100.0,70.25336763852275,0.23498677016594235,0.385416980561782,46.52297947787872,44.029117261791804,0
2020-01-08,15.039396881834035,11.773389024458561,84.24330052982515,100.0,0.0,46.83253839785974,14.452772015602207,10.449735036376467,84.66594233211832,100.0,92.73069213443326,0.6730598759491484,0.1670788109365775,47.44085981917773,42.781048910320514,0
2020-01-09,11.978120726434783,9.094551454946611,86.31965065203016,100.0,0.08225129502175291,49.972040492555344,14.3548836747792,11.229195300209105,86.2069712158898,100.0,100.0,0.0,0.23498677016594235,46.83253839785974,46.52297947787872,0
2020-01-10,14.542714307939804,5.479163013385886,70.53850042131108,100.0,0.0,44.079186157006056,14.341271962858466,10.062923903803807,84.13004948361046,100.0,100.0,0.08225129502175291,0.6730598759491484,49.972040492555344,47.44085981917773,0
